doi	title	issue	form_type	subject_classification	effect_verdict	effect_score	sample_size_category	extraction_confidence	sample_size_raw	abstract
10.1038/s41586-026-10179-2	Insulin resistance prediction from wearables and routine blood biomarkers			life_science	include	1	effect_size_estimate	high	The exact contribution of each feature (wearables, demographics, and blood biomarkers) to insulin resistance prediction was unknown before we started the study. Based on our prior research (Metwally et al., Nature Biomedical Engineering, 2025, and Park et al, npj Digital Medicine, 2025), we determin	Insulin resistance (IR), a primary precursor to type 2 diabetes, is characterized by impaired insulin action in tissues1. However, diagnostic methods remain expensive and inaccessible, which hinders early intervention2,3. Here we present the WEAR-ME study, a large, remotely conducted study of IR (n&
10.1038/s41586-026-10219-x	Functional hierarchy of the human neocortex across the lifespan			life_science	include		resource_constraint	high	Sample size was chosen based on available data across our five imaging datasets. Our final sample size of 3972 is large and ages of participants are evenly distributed across the human lifespan.	Abstract Large-scale gradients of functional connectivity between brain areas organize the human neocortex, linking brain topography to the texture of cognition 1,2 . In adults, three dominant axes—sensory–association, visual–somatosensory and modulation–representation—run, respectively, from primar
10.1038/s41586-026-10220-4	Climbing fibres recruit disinhibition to enhance Purkinje cell calcium signals			life_science	include	9	replication_standard	high	No power analysis or other statistical methods were used to pre-determine sample sizes. Sample sizes were similar to previous publications: PMID: 38692278, PMID: 35578131, PMID: 25205669.	Climbing fibre (CF) inputs to Purkinje cells (PCs) instruct plasticity and learning in the cerebellum1&#8211;3. Paradoxically, CFs also excite molecular layer interneurons (MLIs)4,5, a cell type that inhibits PCs and can restrict plasticity and learning6,7. However, two types of MLI with opposing in
10.1038/s41586-026-10226-y	Adaptive evolution of gene regulatory networks in mammalian neocortex			life_science	include		resource_constraint	high	No sample size calculation was performed. The size of the samples was determined by the availability of the samples, and the sequencing costs.	Mammals have evolved a more complex brain, exemplified by the transformation of the single-layer dorsal cortex of excitatory projection neurons (ExNs) in ancestors into a multilayered cerebral neocortex1&#8211;4 enriched with diverse intratelencephalic and extratelencephalic ExN subtypes5&#8211;7, t
10.1038/s41586-026-10227-x	Biosynthesis of cinchona alkaloids			life_science	include		replication_standard	high	All experiments designed to probe the function of distinct enzymes were conducted with a sample size of at least three to ensure minimal statistical power analysis: Nicotiana benthamiana pathway reconstitution experiments were done on four independent biological replicates. In vitro assays were perf	Abstract Cinchona alkaloids, which have been studied for more than 250 years, are plant-derived natural products that have collectively had a substantial impact in medicine and basic science 1–5 . Examples of cinchona alkaloids include quinine, a historically important antimalarial drug, and cinchon
10.1038/s41586-026-10232-0	The E3 ubiquitin ligase mechanism specifying targeted microRNA degradation			life_science	include	3	effect_size_estimate	high	No statistical methods were used to predetermine sample size. Sample sizes were chosen based on pilot experiments to ensure clear and reliable interpretation of the results. The sample sizes used in this study are consistent with standard practices in the field (PMID: 32661162, 33536622). The exact 	Abstract MicroRNAs (miRNAs) associate with Argonaute (AGO) proteins to form complexes that down-regulate target RNAs, including messenger RNAs from most human genes 1–3 . Within each complex, the miRNA pairs to target RNAs, and AGO provides effector function while also protecting the miRNA from cell
10.1038/s41586-026-10235-x	In vivo site-specific engineering to reprogram T cells			life_science	include	4	power_calc	high	Sample size were chosen based on power calculation and pilot experiments. Due to the challenge in producing reagents in very large quantities, some experiments have unequal group sizes	Abstract Engineered T cells, reprogrammed to express chimeric antigen receptors (CAR) or T cell receptors (TCR), have transformed cancer treatment and are being explored as therapeutics for autoimmune and infectious diseases. Enhancing T cell function through genome editing, either by disrupting end
10.1038/s41586-026-10242-y	Thymic health consequences in adults			life_science	include	3	resource_constraint	high	Sample size was chosen based on all available data from the FHS and NLST. The cohort comprised a total of 27,612 participants (2,581 in FHS; 25,031 in NLST). In our study we performed a secondary analysis of the two observational cohort studies (FHS, NLST). Sample size was not determined by calculat	The thymus is essential for establishing T cell diversity early in life, but undergoes profound involution with age and has therefore traditionally been regarded as largely nonfunctional in adults1,2. Here we propose that preserving thymic functionality is integral to adult health and longevity. We 
10.1038/s41586-026-10243-x	Thymic health and immunotherapy outcomes in patients with cancer			life_science	include	1	resource_constraint	high	Sample size was chosen based on all available data from the DFHCC and TRACERx. The cohort comprised a total of 3,940 participants (3476 from Harvard and 464 from TRACERx). Sample size was not determined by calculation as this was not a prospective study.	Although immunotherapy has revolutionized cancer treatment, many patients still experience limited benefit, highlighting the urgent need for improved biomarkers1. Although immunotherapy is founded on unleashing T&#8201;cells2, most existing biomarkers remain tumour-centric and mainly overlook host i
10.1038/s41586-026-10250-y	Proteasome-guided haem signalling axis contributes to T cell exhaustion			life_science	include	5	effect_size_estimate	high	Group sizes for in vivo validation experiments were selected empirically based on previous results of the intra-group variation of tumor growth upon similar treatments. For in vitro experiments, group sizes were selected on the basis of previous publication and prior knowledge of variation and were 	The accumulation of depolarized mitochondria commits T cells to exhaustion1&#8211;3, yet the precise mechanism remains unclear. Here we find that exhausted CD8+ T cells increase proteasome activity owing to the accumulation of depolarized mitochondria, which drives the selective degradation of mitoc
10.1038/s41586-026-10258-4	Epigenetic memory of colitis promotes tumour growth			life_science	include	2	resource_constraint	high	No statistical methods were used to predetermine sample size. Sample sizes were based on those previously used by our lab and in preliminary experiments. Human organoid experiments were limited by donor participation.	Chronic inflammation is a well-established risk factor for cancer, but the underlying molecular mechanisms remain unclear1,2. Using a mouse model of colitis, we demonstrate that colonic stem cells retain an epigenetic memory of inflammation following disease resolution that persists for more than 10
10.1038/s41586-026-10259-3	Synthetic circuits for cell ratio control			life_science	include	2	replication_standard	high	No statistical methods were used to predetermine sample size. Sample sizes were chosen to include at least three independent biological replicates, based on established practices in the field and prior literature (doi.org/10.1038/s41586-025-09287-2; doi.org/10.1038/ s41586-025-08947-7), to ensure re	Recent advances in genetic engineering have provided diverse tools for artificially diversifying both prokaryotic and eukaryotic cell populations1&#8211;6. However, achieving precise control over the ratios of multiple cell types within a population derived from a single founder remains a major chal
10.1038/s41586-026-10264-6	Androgen activity in the male embryonic hindbrain drives lethal PFA ependymoma			life_science	include	2	resource_constraint	high	Sample size was determined by the availability of the human samples. Mouse samples of hindbrain development time points were chosen based on availability and relevance of important developmental events.	Posterior fossa type A (PFA) ependymoma is an unusual infantile brain tumour with few known somatic mutations, thought to be driven by epigenetic mechanisms1. PFA ependymoma&amp;nbsp;has a markedly higher incidence and worse prognosis in male children than in female children2. The mechanisms that un
