doi	title	issue	subject_classification	sample_size_category	extraction_confidence	sample_size_raw
10.1038/s41586-026-10112-7	Genomic history of early dogs in Europe	8107	life_science	resource_constraint	high	We aimed to sample canid remains broadly from Europe and from the Upper Paleolithic, Mesolithic, and to some extent also Neolithic periods. We contacted museum curators, zooarchaeologists and others w
10.1038/s41586-026-10170-x	Dogs were widely distributed across western Eurasia during the Palaeolithic	8107	life_science	resource_constraint	high	All individuals which possessed enough bone/tooth material were sampled for this study (see Supplementary Methods). Material was obtained through collaboration with archaeologists working in the respe
10.1038/s41586-025-09622-7	Contrasting thermophilization among forests, grasslands and alpine summits		life_science	resource_constraint	high	was thus not predetermined but rather a maximum possible based on available data.
10.1038/s41586-026-10179-2	Insulin resistance prediction from wearables and routine blood biomarkers		life_science	effect_size_estimate	high	The exact contribution of each feature (wearables, demographics, and blood biomarkers) to insulin resistance prediction was unknown before we started the study. Based on our prior research (Metwally e
10.1038/s41586-026-10219-x	Functional hierarchy of the human neocortex across the lifespan		life_science	resource_constraint	high	Sample size was chosen based on available data across our five imaging datasets. Our final sample size of 3972 is large and ages of participants are evenly distributed across the human lifespan.
10.1038/s41586-026-10220-4	Climbing fibres recruit disinhibition to enhance Purkinje cell calcium signals		life_science	replication_standard	high	No power analysis or other statistical methods were used to pre-determine sample sizes. Sample sizes were similar to previous publications: PMID: 38692278, PMID: 35578131, PMID: 25205669.
10.1038/s41586-026-10226-y	Adaptive evolution of gene regulatory networks in mammalian neocortex		life_science	resource_constraint	high	No sample size calculation was performed. The size of the samples was determined by the availability of the samples, and the sequencing costs.
10.1038/s41586-026-10227-x	Biosynthesis of cinchona alkaloids		life_science	replication_standard	high	All experiments designed to probe the function of distinct enzymes were conducted with a sample size of at least three to ensure minimal statistical power analysis: Nicotiana benthamiana pathway recon
10.1038/s41586-026-10232-0	The E3 ubiquitin ligase mechanism specifying targeted microRNA degradation		life_science	effect_size_estimate	high	No statistical methods were used to predetermine sample size. Sample sizes were chosen based on pilot experiments to ensure clear and reliable interpretation of the results. The sample sizes used in t
10.1038/s41586-026-10235-x	In vivo site-specific engineering to reprogram T cells		life_science	power_calc	high	Sample size were chosen based on power calculation and pilot experiments. Due to the challenge in producing reagents in very large quantities, some experiments have unequal group sizes
10.1038/s41586-026-10242-y	Thymic health consequences in adults		life_science	resource_constraint	high	Sample size was chosen based on all available data from the FHS and NLST. The cohort comprised a total of 27,612 participants (2,581 in FHS; 25,031 in NLST). In our study we performed a secondary anal
10.1038/s41586-026-10243-x	Thymic health and immunotherapy outcomes in patients with cancer		life_science	resource_constraint	high	Sample size was chosen based on all available data from the DFHCC and TRACERx. The cohort comprised a total of 3,940 participants (3476 from Harvard and 464 from TRACERx). Sample size was not determin
10.1038/s41586-026-10250-y	Proteasome-guided haem signalling axis contributes to T cell exhaustion		life_science	effect_size_estimate	high	Group sizes for in vivo validation experiments were selected empirically based on previous results of the intra-group variation of tumor growth upon similar treatments. For in vitro experiments, group
10.1038/s41586-026-10255-7	Structural basis of supercoiling-induced CRISPR–Cas9 off-target activity		life_science	replication_standard	high	No sample size calculation was performed. All observations were observed on sufficient numbers of individual molecules (>19). This sample size was taken from multiple different technical repeats of ea
10.1038/s41586-026-10258-4	Epigenetic memory of colitis promotes tumour growth		life_science	resource_constraint	high	No statistical methods were used to predetermine sample size. Sample sizes were based on those previously used by our lab and in preliminary experiments. Human organoid experiments were limited by don
10.1038/s41586-026-10259-3	Synthetic circuits for cell ratio control		life_science	replication_standard	high	No statistical methods were used to predetermine sample size. Sample sizes were chosen to include at least three independent biological replicates, based on established practices in the field and prio
10.1038/s41586-026-10264-6	Androgen activity in the male embryonic hindbrain drives lethal PFA ependymoma		life_science	resource_constraint	high	Sample size was determined by the availability of the human samples. Mouse samples of hindbrain development time points were chosen based on availability and relevance of important developmental event
10.1038/s41586-026-10266-4	Exposed phosphatidylserine is an inhibitory molecule in T cell exhaustion		life_science	resource_constraint	high	No statistical method was used to predetermine sample size. Sample sizes were based off previous and preliminary studies from our lab (Sarkar, S. et al. J Exp Med. 2008) (Im, S. et al. Nature, 2016). 
10.1038/s41586-026-10267-3	Rapid concerted switching of the neural code in the inferotemporal cortex		life_science	replication_standard	high	Sample sizes were maximized given the recording capacity of NHP Neuropixels probes (384 channels) and are consistent with previous studies using similar methods such as She, Liang, et al. "Temporal mu
10.1038/s41586-026-10268-2	Catabolism of extracellular glutathione supplies cysteine to support tumours		life_science	effect_size_estimate	high	For cell culture experiments, sample sizes were not chosen based on statistical methods. All cell culture experiments were repeated at least 2 independent times, each with n23 technical replicates (i.
10.1038/s41586-026-10270-8	Dominant clones leverage developmental epigenomic states to drive ependymoma		life_science	resource_constraint	high	Sample size was defined by sample availability. There was no sample-size calculation performed.
10.1038/s41586-026-10278-0	Ectopic NMDAR expression in cancer unmasks germline-encoded autoimmunity		life_science	methodology_determined	medium	
10.1038/s41586-026-10281-5	Parasites trigger epithelial cell crosstalk to drive gut–brain signalling		life_science	power_calc	high	For statistical comparisons, sample size was selected based on power calculations performed with reference to previous or present experiments carried out in our laboratory and in the field. For patch-
10.1038/s41586-026-10288-y	The DNA virome varies with human genes and environments		life_science	na_or_blank	medium	
10.1038/s41586-026-10291-3	Oxygen supply through the tracheolar–muscle system does not constrain insect gigantism		life_science	methodology_determined	high	Protocolsofunbiasedstereologywerestrictlyadheredto,includingsystematicrandomsamplingwhereapplicable,sothatisotropic uniformrandomimagesweregeneratedforanalysis.Thisincludedthehierarchicalrandomization
10.1038/s41586-026-10306-z	Aversive learning hijacks a brain sugar sensor to consolidate memory		life_science	replication_standard	high	Sample sizes in this study were similar to previous studies from our or other groups for aversive memory assays14, appetitive memory assays37, metabolic imaging15,16, calcium imaging9, rather than bei
10.1038/s41586-026-10360-7	Molecular basis of oocyte cytoplasmic lattice assembly		life_science	methodology_determined	medium	
