doi	title	volume	issue	published_date	rs_form_type	sample_size_category	extraction_confidence	sample_size_raw
10.1038/s41586-025-09685-6	Gene-drive-capable mosquitoes suppress patient-derived malaria in Tanzania	649	8096	2025-12-10		power_calc	high	No formal statistical power calculations were performed. Sample sizes were chosen based on prior similar experiments and logistical feasibility, ensuring sufficient biological replicates for statistical comparisons (e.g. mosquito fertility and fecundity, infection prevalence and intensity, oocyst si
10.1038/s41586-025-09820-3	Mapping the genetic landscape across 14 psychiatric disorders	649	8096	2025-12-10	Life sciences study design	ambiguous	high	The current study reflects the largest and most comprehensive cross-disorder psychiatric genetic analysis to-date. This study makes use of the largest psychiatric disorder GWAS currently available. Sample sizes for each of the included 14 disorders are provided in Table 1 of the main text.
10.1038/s41586-025-09853-8	An RNA splicing system that excises DNA transposons from animal mRNAs	649	8096	2025-12-10		replication_standard	high	No statistical method was used to predetermine sample size. All quantitative data represent the mean of at least three independent experiments, as indicated by the data points shown in the graphs. For C. elegans assays, PCR was performed using samples collected from 60 mm plates of worms to obtain s
10.1038/s41586-025-09874-3	Soft biodegradable implants for long-distance and wide-angle sensing	649	8096	2026-1-7		resource_constraint	high	No statistical method was used to predetermine sample size. The sample sizes for each experiment were chosen based on the following rationales: * Cell toxicity (n=6 independent material-containing culture mediums): This sample size is consistent with common practice in the field for initial biocompa
10.1038/s41586-025-09821-2	Mutations in mitochondrial ferredoxin FDX2 suppress frataxin deficiency	649	8097	2025-12-10	Life sciences study design	ambiguous	high	Sample sizes were not predetermined. Sample sizes for all experiments are stated and defined in figure legends. In general we sought to include between 12-20 individual animals for each experimental group and repeated each experiment in biological triplicate.
10.1038/s41586-025-09770-w	Astrocyte CCN1 stabilizes neural circuits in the adult brain	649	8098	2025-12-17		effect_size_estimate	high	For bulk RiboSeq, 3-6 mice per sequenced per age or condition based on Boisvert el. 2018 Cell Reports. For smFISH, Western blotting, immunohistochemistry experiments, 2-3 technical replicates (slices or blots) were obtained per mouse per experimental group. 3-6 mice were obtained per condition per e
10.1038/s41586-025-09794-2	The Microflora Danica atlas of Danish environmental microbiomes	649	8098	2025-12-3		resource_constraint	high	was determined by feasibility and reach. We have described the sampling approach in detail in the methods of the manuscript and Supplementary Data 5, detailing procurement processes of samples contributed by Microflora Danica consortium members, and the Microflora Danica sampling campaign.
10.1038/s41586-025-09869-0	Fasting boosts breast cancer therapy efficacy via glucocorticoid activation	649	8098	2025-12-10		power_calc	high	For our in vitro experiments, no statistical method was used to predetermine sample size, but our sample size were similar to those reported in several publication including ours (at least three technical replicates each experiment). For our in vivo experiments, we estimated sample size by PS (Power
10.1038/s41586-025-09887-y	Lesion-remote astrocytes govern microglia-mediated white matter repair	649	8098	2025-12-17		power_calc	high	Animal group sizes were calculated to provide at least 80% power when using the following parameters: probability of type | error (alpha) = .05, a conservative effect size of 0.25, 2-5 treatment groups with multiple measurements obtained per replicate. For all experiments performed as part of this p
10.1038/s41586-025-09809-y	Viral RNA blocks circularization to evade host codon usage control	649	8099	2025-12-3	behavioural & social sciences study design	replication_standard	high	Sample sizes were chosen based on commonly accepted standards in molecular biology.
10.1038/s41586-025-09812-3	Whole-genome landscapes of 1,364 breast cancers	649	8099	2025-12-3	Life sciences study design	na_or_blank	medium	
10.1038/s41586-025-09834-x	A direct role for a mitochondrial targeting sequence in signalling stress	649	8099	2025-12-10		replication_standard	high	All sample sizes and the number of biological replicates for each experiment are reported in the figure legends. No statistical methods were used to predetermine sample size. For live-cell imaging analyses, sample sizes were guided by preliminary experiments that helped establish an appropriate samp
10.1038/s41586-025-09836-9	Sterilization and contraception increase lifespan across vertebrates	649	8099	2025-12-10		effect_size_estimate	high	For the zoo data, we selected datasets for which we had at least 30 individuals per type of contraception, such that the total number of individuals (contracepted + non-contracepted) was at least 100. For the competing risk modelling we selected species for which there were at least 15 individuals w
10.1038/s41586-025-09843-w	Palaeometabolomes yield biological and ecological profiles at early human sites	649	8099	2025-12-17	behavioural & social sciences study design	ambiguous	high	Twenty extant laboratory mouse bones representing two different strains, six 1.7-1.8 and 1.3 myr Olduvai Gorge fossils, one 2.4 myr Chiwondo Beds fossil, one 3.0 myr Makapansgat fossil, six species-matched extant faunal bones, and eight paleosols were subject to destructive analysis. Sample data is 
10.1038/s41586-025-09852-9	RNA-triggered Cas12a3 cleaves tRNA tails to execute bacterial immunity	649	8099	2026-1-7	Life sciences study design	replication_standard	high	Quantitative experiments involved a sample size of at least three, the minimal number needed to perform statistical analyses. The exact sample size is indicated in each figure legend.
10.1038/s41586-025-09898-9	Nutrient requirements of organ-specific metastasis in breast cancer	649	8099	2026-1-7	Life sciences study design	ambiguous	high	Statistical methods were not performed to pre-determine sample size for animal studies. The number of animals assigned per condition was selected empirically to account for the variability of the examined phenotypes based on prior experience with the model, as described in refs. 12, 13. For tissue c
10.1038/s41586-025-10014-0	Advancing regulatory variant effect prediction with AlphaGenome	649	8099	2026-1-28	Life sciences study design	ambiguous	high	All available data were used for each benchmark and evaluation. No subsampling was performed
10.1038/s41586-025-09808-z	Dated gene duplications elucidate the evolutionary assembly of eukaryotes	650	8100	2025-12-3	Ecological, evolutionary & environmental sciences study design	na_or_blank	medium	as above
10.1038/s41586-025-09811-4	Homo sapiens-specific evolution unveiled by ancient southern African genomes	650	8100	2025-12-3	Life sciences study design	ambiguous	high	Genomic and radiocarbon data from 28 ancient individuals from South Africa were analysed in this study. The sample size was dependent on the availability of human remains dating to the Stone Age and Iron Age from southern Africa, with preserved and retrievable ancient DNA sequences. These specimens 
10.1038/s41586-025-09825-y	Uncovering the role of LINE-1 in the evolution of lung adenocarcinoma	650	8100	2025-12-10	Life sciences study design	ambiguous	high	We analyzed deep whole-genome sequencing (mean read depth 81.7x) and multi-omics data from 1,024 LUAD samples in the Sherlock-Lung study, collected from multiple centers across four continents. This large and diverse cohort included 286 smokers, 737 never-smokers, and 1 participant with unknown smok
10.1038/s41586-025-09828-9	Agonists for cytosolic bacterial receptor ALPK1 induce antitumour immunity	650	8100	2025-12-10	unknown	na_or_blank	low	
10.1038/s41586-025-09829-8	Human gut M cells resemble dendritic cells and present gluten antigen	650	8100	2025-12-10		replication_standard	high	No sample size calculation was performed. Unlike in mouse study, organoid experiments were all conducted in a highly controlled environment, and only involve specific cells or molecules rather than whole organism. For quantitative organoid experiments, based on our experience, experimental triplicat
10.1038/s41586-025-09929-5	Correlates of HIV-1 control after combination immunotherapy	650	8100	2025-12-1	Life sciences study design	ambiguous	high	No sample size was pre-specified for the analysis included here. This was designed as a proof-of-concept mechanistic study.
10.1038/s41586-025-09932-w	CD8+ T cell stemness precedes post-intervention control of HIV viraemia	650	8100	2025-12-1		resource_constraint	high	Sample sizes were constrained by specimen and reagent availability.
10.1038/s41586-025-09960-6	Dominant contribution of Asgard archaea to eukaryogenesis	650	8100	2026-1-14	Ecological, evolutionary & environmental sciences study design	ambiguous	high	Prokaryotes were sampled as widely as possible though manual curation of the NCBI genome database. A wide Eukaryotic representation was ensured though the usage of the Eukprot database.
10.1038/s41586-025-09810-5	TSC tunes progenitor balance and upper-layer neuron generation in neocortex	650	8101	2025-12-3		power_calc	high	A priori sample size calculations were not performed. For experiments using human tissues, we included as many different samples (n=3) as we were able to obtain. For others, minimum sample sizes were estimated based on previously published studies (PMID: 31277925; PMID: 31846650).
10.1038/s41586-025-09824-z	Erythropoietin receptor on cDC1s dictates immune tolerance	650	8101	2025-12-10		effect_size_estimate	high	Sample sizes were determined based on preliminary data or prior experience with variability in similar experimental settings.
10.1038/s41586-025-09854-7	Gut micro-organisms associated with health, nutrition and dietary interventions	650	8101	2025-12-10		power_calc	high	No a priori sample size calculation was performed, as we gather and analyzed 34,694 microbiome samples, leveraging the largest (to the best of our knowledge) and most comprehensive microbiome cohorts, providing robust statistical power sufficient for the primary exploratory and hypothesis-generating
10.1038/s41586-025-09856-5	An ancient DNA perspective on the Russian conquest of Yakutia	650	8101	2026-1-7	Ecological, evolutionary & environmental sciences study design	ambiguous	high	Sampling was dependent upon the availability of ancient human remains.
10.1038/s41586-025-09866-3	Causal modelling of gene effects from regulators to programs to traits	650	8101	2025-12-10	Life sciences study design	ambiguous	high	All analyses were performed on previously collected data from the UK Biobank or publicly available data. In all analyses we used all data that passed filtering criteria as described in the methods.
10.1038/s41586-025-09875-2	Spatiotemporal cellular map of the developing human reproductive tract	650	8101	2025-12-17	Life sciences study design	ambiguous	high	No sample size calculation was performed, sample size was determined by the time availability to collect samples. - scRNA-seq: 73 fetal donors; - scATAC-seq: 29 fetal donors; - 10x Visium: 20 fetal donors, 1 adult donor; - In Situ Sequencing: 9 fetal donors. The sample size is sufficient as we have 
10.1038/s41586-025-09884-1	Human assembloids recapitulate periportal liver tissue in vitro	650	8101	2025-12-17	Life sciences study design	effect_size_estimate	high	No statistical methods were used to estimate sample sizes before the study. We based our sample numbers on a combination of previous experience with in vivo and in vitro systems, and standards in the field.
10.1038/s41586-025-09991-z	Pesticide residues alter taxonomic and functional biodiversity in soils	650	8101	2026-1-28	Ecological, evolutionary & environmental sciences study design	ambiguous	high	Sampling points were selected based on their overlapping between LUCAS Soil Pesticides and LUCAS Soil Biodiversity modules, both presented in Orgiazzi, A. et al. LUCAS Soil Biodiversity and LUCAS Soil Pesticides, new tools for research and policy development. European Journal of Soil Science 73, e13
10.1038/s41586-025-09798-y	Gene-specific selective sweeps are pervasive across human gut microbiomes	650	8102	2025-12-17	Ecological, evolutionary & environmental sciences study design	ambiguous	medium	Data collection
10.1038/s41586-025-09885-0	Evidence accumulation from experience and observation in the cingulate cortex	650	8102	2026-1-7	Life sciences study design	ambiguous	high	We used n= 2 monkeys, with n=36 sessions. Number of sessions was sufficient to replicate findings by cross validation across sessions.
10.1038/s41586-025-09888-x	Plastic landmark anchoring in zebrafish compass neurons	650	8102	2026-1-7		effect_size_estimate	high	Due to the novel nature of hte phenomenology we studied, it was difficult to estimate the effect size and individual variability beforehand. As such, we did not pre-calculate the sample size (the number of fish). Instead, we initially aimed to collect data from about 20 animals per experiment or per
10.1038/s41586-025-09893-0	Sustained HIV-1 remission after heterozygous CCR5Δ32 stem cell transplantation	650	8102	2025-12-1		power_calc	high	Sample size calculation was not applicable, as this study focused on a single individual. For NK-cell phenotyping, sample size calculation was not applicable as this study was focused on one specific individual, similar to previously published literature (https://doi.org/10.1038/s41591-024-03277-z).
10.1038/s41586-025-09899-8	Stress controls heterochromatin inheritance via histone H3 ubiquitylation	650	8102	2026-1-7		replication_standard	high	Sample size selection was based on experience from prior studies: [Sahu et al., 2024, Mol Cell (PMID: 39096900); Wei et al., 2021, Nat Cell Biol (PMID: 33574613); Holla et al., 2020, Cell (PMID: 31883795); Mazza et al., 2013, Methods Mol Biol (PMID: 23980004)
