doi	title	issue	form_type	subject_classification	effect_verdict	effect_score	sample_size_category	extraction_confidence	sample_size_raw	abstract
10.1038/s41586-025-09685-6	Gene-drive-capable mosquitoes suppress patient-derived malaria in Tanzania	8096		life_science	include	3	power_calc	high	No formal statistical power calculations were performed. Sample sizes were chosen based on prior similar experiments and logistical feasibility, ensuring sufficient biological replicates for statistical comparisons (e.g. mosquito fertility and fecundity, infection prevalence and intensity, oocyst si	Abstract Gene drive technology presents a transformative approach to combatting malaria by introducing genetic modifications into wild mosquito populations to reduce their vectorial capacity. Although effective modifications have been developed, these efforts have been confined to laboratories in th
10.1038/s41586-025-09853-8	An RNA splicing system that excises DNA transposons from animal mRNAs	8096		life_science	include	1	replication_standard	high	No statistical method was used to predetermine sample size. All quantitative data represent the mean of at least three independent experiments, as indicated by the data points shown in the graphs. For C. elegans assays, PCR was performed using samples collected from 60 mm plates of worms to obtain s	All genomes have mobile genetic segments called transposable elements (TEs)1. Here we describe a system, which we term SOS splicing, that protects Caenorhabditis elegans and human genes against DNA-transposon-mediated disruption by excising these TEs from host mRNAs. SOS splicing, which seems to ope
10.1038/s41586-025-09874-3	Soft biodegradable implants for long-distance and wide-angle sensing	8096		life_science	include	1	resource_constraint	high	No statistical method was used to predetermine sample size. The sample sizes for each experiment were chosen based on the following rationales: * Cell toxicity (n=6 independent material-containing culture mediums): This sample size is consistent with common practice in the field for initial biocompa	Monitoring internal physiological signals is essential for effective medical care1, yet most current technologies rely on external measurements or imaging systems that cannot capture enough deep-tissue dynamics2&#8211;6. Implantable devices offer a solution, but conventional designs often require ba
10.1038/s41586-025-09821-2	Mutations in mitochondrial ferredoxin FDX2 suppress frataxin deficiency	8097		life_science	include	5	replication_standard	high	Sample sizes were not predetermined. Sample sizes for all experiments are stated and defined in figure legends. In general we sought to include between 12-20 individual animals for each experimental group and repeated each experiment in biological triplicate.	Abstract Frataxin is a key component of an ancient, mitochondrial iron–sulfur cluster biosynthetic machinery, serving as an allosteric activator of the cysteine desulfurase NFS1 (refs. 1–5 ). Loss of frataxin levels underlies Friedreich’s ataxia 6 , the most common inherited ataxia. Yeast, C aenorha
10.1038/s41586-025-09770-w	Astrocyte CCN1 stabilizes neural circuits in the adult brain	8098		life_science	include	3	effect_size_estimate	high	For bulk RiboSeq, 3-6 mice per sequenced per age or condition based on Boisvert el. 2018 Cell Reports. For smFISH, Western blotting, immunohistochemistry experiments, 2-3 technical replicates (slices or blots) were obtained per mouse per experimental group. 3-6 mice were obtained per condition per e	Neural circuits in many brain regions are refined by experience. Sensory circuits support higher plasticity at younger ages during critical periods&#8212;times of circuit refinement and maturation&#8212;and limit plasticity in adulthood for circuit stability1,2. How astrocytes, a glial subtype, main
10.1038/s41586-025-09869-0	Fasting boosts breast cancer therapy efficacy via glucocorticoid activation	8098		life_science	include	8	power_calc	high	For our in vitro experiments, no statistical method was used to predetermine sample size, but our sample size were similar to those reported in several publication including ours (at least three technical replicates each experiment). For our in vivo experiments, we estimated sample size by PS (Power	The majority of breast cancers are driven by oestrogen receptor-&#945; (ER&#945;) activation, and endocrine therapy represents the mainstay treatment for these patients1. However, resistance is common and tumours often progress after years of endocrine suppression2. Periodic fasting enhances the eff
10.1038/s41586-025-09887-y	Lesion-remote astrocytes govern microglia-mediated white matter repair	8098		life_science	include	4	power_calc	high	Animal group sizes were calculated to provide at least 80% power when using the following parameters: probability of type | error (alpha) = .05, a conservative effect size of 0.25, 2-5 treatment groups with multiple measurements obtained per replicate. For all experiments performed as part of this p	Spared regions of the damaged central nervous system undergo dynamic remodelling and exhibit a remarkable potential for therapeutic exploitation1. Lesion-remote astrocytes (LRAs), which interact with viable neurons and glia, undergo reactive transformations whose molecular and functional properties 
10.1038/s41586-025-09809-y	Viral RNA blocks circularization to evade host codon usage control	8099		life_science	include	4	replication_standard	high	Sample sizes were chosen based on commonly accepted standards in molecular biology.	Codon usage bias&#8212;the preferential use of certain synonymous codons&#8212;is a fundamental feature of all genomes. Codon usage has a key role in determining gene-expression levels in all organisms that have so far been studied1&#8211;3. Nearly all human-infecting viruses show patterns of codon 
10.1038/s41586-025-09834-x	A direct role for a mitochondrial targeting sequence in signalling stress	8099		life_science	include	4	replication_standard	high	All sample sizes and the number of biological replicates for each experiment are reported in the figure legends. No statistical methods were used to predetermine sample size. For live-cell imaging analyses, sample sizes were guided by preliminary experiments that helped establish an appropriate samp	Mitochondrial protein import is required for maintaining organellar function1. Perturbations in this process are associated with various physiological and disease conditions2. Several stress responses, including the mitochondrial compromised protein import response (mitoCPR), combat damage caused by
10.1038/s41586-025-09836-9	Sterilization and contraception increase lifespan across vertebrates	8099		life_science	include	4	effect_size_estimate	high	For the zoo data, we selected datasets for which we had at least 30 individuals per type of contraception, such that the total number of individuals (contracepted + non-contracepted) was at least 100. For the competing risk modelling we selected species for which there were at least 15 individuals w	Reproduction is hypothesized to constrain lifespan1,2 and contribute to sex differences in ageing3&#8211;5. Various sterilization and contraception methods inhibit reproduction, but predictions differ for how these influence survival, depending on sex5, how sex hormones are affected4 and species lif
